"COUNTRY","YEAR","env","gen","loc","SEASON","rep","check","PL_EMERG_COUNT","PL_EMERG_PCT","FLW_DAYS","FLW_CL","PUB_CL","NDM","LOD","PODDING_MAT","Pod_Shattering","PH_R8","W100G","GY","R6_BB_Sev","R6_BP_Sev","R6_BS_Sev","R6_BTS_Sev","R6_CLB_Sev","R6_DM_Sev","R6_MLS_Sev","R6_FELS_Sev","R6_RLB_Sev","R6_RUST_Sev","R6_RUST_RRT","R6_Others_Sev","PROT","OIL","SOWING","HARVEST","LAT","LON","ELEV","RAINFED","SOURCE","COMPANY","bloco"
"Malawi","2017","E015","G062","L010","2",1,"0","0","0",41,NA,NA,109,1,"0",2,"0","16",987.65,1,1,0,0,0,0,0,1,0,1,0,1,39.06,"22.92","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","1"
"Malawi","2017","E015","G094","L010","2",1,"0","0","0",39,NA,NA,110,2,"0",1,"0","12",1461.32,1,1,0,0,0,0,0,1,0,1,0,2,40.28,"21.7","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","1"
"Malawi","2017","E015","G199","L010","2",1,"0","0","0",41,NA,NA,111,2,"0",1,"0","13",1272.65,1,1,0,0,0,0,0,1,0,2,0,1,39.74,"20.81","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G070","L010","2",1,"0","0","0",42,NA,NA,109,1,"0",1,"0","16",1354.8,1,1,0,0,0,0,0,1,0,1,0,1,41.99,"22.41","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","MRISyngenta Synergy Agribusiness Zambia Limited","Private","1"
"Malawi","2017","E015","G143","L010","2",1,"0","0","0",38,NA,NA,111,1,"0",1,"0","22",1025.1,1,1,0,0,0,0,0,1,0,1,0,2,37.44,"26.67","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","1"
"Malawi","2017","E015","G203","L010","2",1,"0","0","0",41,NA,NA,105,2,"0",1,"0","13",961.67,1,1,0,0,0,0,0,1,0,1,0,2,36.59,"26.04","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G182","L010","2",1,"0","0","0",40,NA,NA,104,2,"0",1,"0","12",859.53,1,1,0,0,0,0,0,1,0,1,0,1,40.43,"22.72","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G188","L010","2",1,"0","0","0",39,NA,NA,104,2,"0",1,"0","13",1497.61,1,1,0,0,0,0,0,1,0,1,0,1,40.64,"21.56","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G003","L010","2",1,"0","0","0",40,NA,NA,107,1,"0",1,"0","13",785.69,1,1,0,0,0,0,0,1,0,1,0,2,42.97,"20.72","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","1"
"Malawi","2017","E015","G091","L010","2",1,"0","0","0",41,NA,NA,110,2,"0",1,"0","18",1899.84,1,1,0,0,0,0,0,1,0,1,0,1,39.57,"22.93","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","1"
"Malawi","2017","E015","G196","L010","2",1,"0","0","0",38,NA,NA,112,2,"0",1,"0","15",2088.33,1,1,0,0,0,0,0,1,0,1,0,1,40.7,"21.82","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G092","L010","2",1,"0","0","0",40,NA,NA,107,2,"0",1,"0","17",1369.7,1,1,0,0,0,0,0,1,0,1,0,1,35.95,"24.68","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","1"
"Malawi","2017","E015","G210","L010","2",1,"0","0","0",0,NA,NA,104,2,"0",2,"0","19",1232.31,1,1,0,0,0,0,0,1,0,1,0,1,37.72,"25.27","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G031","L010","2",1,"0","0","0",39,NA,NA,110,1,"0",1,"0","13",434.26,1,1,0,0,0,0,0,1,0,1,0,1,40.14,"20.47","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","1"
"Malawi","2017","E015","G206","L010","2",1,"0","0","0",41,NA,NA,103,3,"0",1,"0","16",995.07,2,2,0,0,0,0,0,1,0,1,0,1,37.95,"23.43","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G089","L010","2",1,"0","0","0",38,NA,NA,110,1,"0",1,"0","12",1298.75,1,1,0,0,0,0,0,1,0,1,0,1,42.73,"20.63","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","1"
"Malawi","2017","E015","G246","L010","2",1,"0","0","0",42,NA,NA,103,2,"0",1,"0","15",931.72,1,1,0,0,0,0,0,1,0,3,0,2,40.05,"22.68","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G212","L010","2",1,"0","0","0",41,NA,NA,105,2,"0",1,"0","14",1312.64,1,1,0,0,0,0,0,1,0,1,0,2,41.57,"24.09","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G059","L010","2",1,"0","0","0",40,NA,NA,103,2,"0",1,"0","16",1819.57,1,1,0,0,0,0,0,1,0,2,0,1,39.42,"24.44","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","1"
"Malawi","2017","E015","G158","L010","2",1,"0","0","0",39,NA,NA,106,1,"0",1,"0","7",33.46,1,1,0,0,0,0,0,1,0,1,0,1,42.41,"21.11","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","1"
"Malawi","2017","E015","G234","L010","2",1,"0","0","0",42,NA,NA,104,3,"0",1,"0","0",NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G060","L010","2",1,"0","0","0",38,NA,NA,107,2,"0",1,"0","14",871.26,1,1,0,0,0,0,0,1,0,1,0,2,36.01,"26.06","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","1"
"Malawi","2017","E015","G056","L010","2",1,"0","0","0",41,NA,NA,107,2,"0",1,"0","13",1778.78,1,1,0,0,0,0,0,1,0,2,0,1,35.43,"24.83","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","ZamSeed","Private","1"
"Malawi","2017","E015","G208","L010","2",1,"0","0","0",42,NA,NA,104,2,"0",1,"0","14",880.64,1,1,0,0,0,0,0,1,0,1,0,1,38.89,"22.73","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","1"
"Malawi","2017","E015","G063","L010","2",1,"0","0","0",39,NA,NA,103,3,"0",1,"0","15",1126.63,1,1,0,0,0,0,0,1,0,2,0,1,41.78,"23.2","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","1"
"Malawi","2017","E015","G096","L010","2",1,"0","0","0",40,NA,NA,109,2,"0",1,"0","12",519.21,1,1,0,0,0,0,0,1,0,1,0,1,39.79,"24.1","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","1"
"Malawi","2017","E015","G199","L010","2",2,"0","0","0",38,NA,NA,111,2,"0",1,"0","14",1168.07,1,1,0,0,0,0,0,1,0,2,0,1,44.06,"20.41","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G365","L010","2",2,"1","0","0",39,NA,NA,104,3,"0",1,"0","10",1504.49,1,1,0,0,0,0,0,1,0,1,0,1,39.32,"22.98","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Department of Agricultural Research Services DARS","Public","2"
"Malawi","2017","E015","G188","L010","2",2,"0","0","0",38,NA,NA,103,3,"0",1,"0","9",1640.06,2,2,0,0,0,0,0,1,0,1,0,1,38.47,"22.55","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G056","L010","2",2,"0","0","0",41,NA,NA,111,2,"0",2,"0","17",1215.05,1,1,0,0,0,0,0,1,0,1,0,1,38.5,"25","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","ZamSeed","Private","2"
"Malawi","2017","E015","G183","L010","2",2,"0","0","0",42,NA,NA,112,2,"0",1,"0","12",1754.17,1,1,0,0,0,0,0,1,0,1,0,1,42.05,"21.01","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G070","L010","2",2,"0","0","0",40,NA,NA,110,1,"0",1,"0","11",986.46,1,1,0,0,0,0,0,1,0,1,0,2,40.13,"23.27","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","MRISyngenta Synergy Agribusiness Zambia Limited","Private","2"
"Malawi","2017","E015","G091","L010","2",2,"0","0","0",39,NA,NA,110,2,"0",1,"0","15",1158.21,1,1,0,0,0,0,0,1,0,2,0,2,40.06,"23.38","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","2"
"Malawi","2017","E015","G186","L010","2",2,"0","0","0",41,NA,NA,107,2,"0",2,"0","12",1358.73,1,1,0,0,0,0,0,1,0,2,0,2,41.86,"22.66","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G060","L010","2",2,"0","0","0",38,NA,NA,112,1,"0",1,"0","16",1200.2,1,1,0,0,0,0,0,1,0,1,0,2,37.61,"25.88","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","2"
"Malawi","2017","E015","G031","L010","2",2,"0","0","0",40,NA,NA,110,1,"0",1,"0","14",641.38,1,1,0,0,0,0,0,1,0,1,0,1,41.77,"20.09","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","2"
"Malawi","2017","E015","G094","L010","2",2,"0","0","0",39,NA,NA,111,2,"0",1,"0","14",1247.58,1,1,0,0,0,0,0,1,0,2,0,1,36.53,"23.19","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","2"
"Malawi","2017","E015","G059","L010","2",2,"0","0","0",41,NA,NA,104,2,"0",1,"0","12",1195.74,1,1,0,0,0,0,0,2,0,2,0,2,40.26,"21.78","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","2"
"Malawi","2017","E015","G003","L010","2",2,"0","0","0",38,NA,NA,110,1,"0",1,"0","10",1231.62,1,1,0,0,0,0,0,1,0,2,0,2,43.12,"20.15","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","2"
"Malawi","2017","E015","G246","L010","2",2,"0","0","0",40,NA,NA,106,2,"0",1,"0","13",854.79,1,1,0,0,0,0,0,1,0,2,0,2,38.19,"23.67","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G201","L010","2",2,"0","0","0",39,NA,NA,110,2,"0",1,"0","14",1315.97,1,1,0,0,0,0,0,1,0,1,0,2,37.21,"24.28","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G208","L010","2",2,"0","0","0",39,NA,NA,105,3,"0",1,"0","15",849.17,1,1,0,0,0,0,0,1,0,2,0,1,36.09,"24.92","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G158","L010","2",2,"0","0","0",38,NA,NA,110,2,"0",1,"0","14",712.87,1,1,0,0,0,0,0,1,0,2,0,1,42.72,"20.41","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","2"
"Malawi","2017","E015","G074","L010","2",2,"1","0","0",39,NA,NA,111,2,"0",1,"0","15",894.19,1,1,0,0,0,0,0,2,0,2,0,2,41.89,"20.5","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Department of Agricultural Research Services DARS","Public","2"
"Malawi","2017","E015","G034","L010","2",2,"0","0","0",41,NA,NA,110,1,"0",1,"0","14",795.82,1,1,0,0,0,0,0,1,0,2,0,2,39.37,"23.74","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","ZamSeed","Private","2"
"Malawi","2017","E015","G234","L010","2",2,"0","0","0",40,NA,NA,106,2,"0",1,"0","12",1313.04,1,1,0,0,0,0,0,1,0,1,0,2,39.49,"22.34","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G203","L010","2",2,"0","0","0",39,NA,NA,105,2,"0",1,"0","14",1346.34,1,1,0,0,0,0,0,1,0,2,0,1,37.25,"24.82","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G182","L010","2",2,"0","0","0",38,NA,NA,104,3,"0",1,"0","11",1264.89,1,1,0,0,0,0,0,1,0,2,0,1,39.58,"22.84","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G206","L010","2",2,"0","0","0",38,NA,NA,104,2,"0",1,"0","16",636.91,1,1,0,0,0,0,0,1,0,2,0,2,34.53,"26.78","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G156","L010","2",2,"0","0","0",40,NA,NA,111,1,"0",1,"0","13",861.88,1,1,0,0,0,0,0,1,0,2,0,2,40.76,"20.89","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","2"
"Malawi","2017","E015","G210","L010","2",2,"0","0","0",39,NA,NA,106,2,"0",1,"0","13",790.09,1,1,0,0,0,0,0,1,0,2,0,1,38.24,"22.65","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G065","L010","2",2,"1","0","0",41,NA,NA,111,2,"0",1,"0","19",1079.77,1,1,0,0,0,0,0,2,0,2,0,2,36.32,"23.99","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Department of Agricultural Research Services DARS","Public","2"
"Malawi","2017","E015","G089","L010","2",2,"0","0","0",44,NA,NA,111,1,"0",1,"0","14",1025.8,1,1,0,0,0,0,0,1,0,1,0,2,43.71,"20.33","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","2"
"Malawi","2017","E015","G061","L010","2",2,"0","0","0",40,NA,NA,106,3,"0",1,"0","17",1217.75,1,1,0,0,0,0,0,1,0,2,0,2,39.87,"22.86","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","2"
"Malawi","2017","E015","G196","L010","2",2,"0","0","0",38,NA,NA,104,2,"0",1,"0","13",1164.13,1,1,0,0,0,0,0,1,0,2,0,1,39.73,"20.87","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G063","L010","2",2,"0","0","0",39,NA,NA,105,2,"0",2,"0","14",1537.02,1,1,0,0,0,0,0,1,0,1,0,1,40,"23.54","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","2"
"Malawi","2017","E015","G125","L010","2",2,"0","0","0",40,NA,NA,110,1,"0",1,"0","13",1120.13,1,1,0,0,0,0,0,1,0,2,0,2,41.67,"21.42","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","2"
"Malawi","2017","E015","G062","L010","2",2,"0","0","0",39,NA,NA,111,1,"0",1,"0","16",968.58,1,1,0,0,0,0,0,1,0,2,0,2,36.44,"25.1","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","2"
"Malawi","2017","E015","G096","L010","2",2,"0","0","0",41,NA,NA,110,1,"0",1,"0","16",1404.68,1,2,0,0,0,0,0,2,0,2,0,2,38.51,"25.09","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","2"
"Malawi","2017","E015","G212","L010","2",2,"0","0","0",40,NA,NA,106,1,"0",1,"0","15",1124.13,1,1,0,0,0,0,0,1,0,1,0,1,37.5,"25.75","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","2"
"Malawi","2017","E015","G092","L010","2",2,"0","0","0",40,NA,NA,110,2,"0",1,"0","18",754.02,1,1,0,0,0,0,0,1,0,1,0,2,39.72,"23.04","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","2"
"Malawi","2017","E015","G143","L010","2",2,"0","0","0",39,NA,NA,111,2,"0",1,"0","23",485,1,1,0,0,0,0,0,1,0,2,0,2,39.3,"24.79","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","2"
"Malawi","2017","E015","G061","L010","2",3,"0","0","0",41,NA,NA,112,2,"0",1,"0","16",890.32,1,1,0,0,0,0,0,1,0,2,0,2,40.18,"23.58","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","3"
"Malawi","2017","E015","G182","L010","2",3,"0","0","0",38,NA,NA,105,1,"0",1,"0","11",1094.67,1,1,0,0,0,0,0,1,0,2,0,1,38.7,"22.35","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","3"
"Malawi","2017","E015","G212","L010","2",3,"0","0","0",39,NA,NA,105,2,"0",1,"0","12",1203.91,1,1,0,0,0,0,0,2,0,2,0,2,32.82,"27.55","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","3"
"Malawi","2017","E015","G034","L010","2",3,"0","0","0",40,NA,NA,106,1,"0",1,"0","11",1636.76,1,1,0,0,0,0,0,1,0,2,0,1,38.8,"24.65","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","ZamSeed","Private","3"
"Malawi","2017","E015","G091","L010","2",3,"0","0","0",39,NA,NA,112,1,"0",1,"0","16",1922.26,1,1,0,0,0,0,0,1,0,2,0,2,38.7,"24.31","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","3"
"Malawi","2017","E015","G056","L010","2",3,"0","0","0",41,NA,NA,112,1,"0",1,"0","17",1733.59,1,1,0,0,0,0,0,1,0,2,0,1,35.49,"25.51","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","ZamSeed","Private","3"
"Malawi","2017","E015","G208","L010","2",3,"0","0","0",39,NA,NA,105,2,"0",2,"0","14",1618.03,1,1,0,0,0,0,0,1,0,2,0,2,40.01,"24","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","3"
"Malawi","2017","E015","G210","L010","2",3,"0","0","0",38,NA,NA,105,2,"0",1,"0","13",1198.9,1,1,0,0,0,0,0,1,0,1,0,1,41.9,"22.13","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","3"
"Malawi","2017","E015","G031","L010","2",3,"0","0","0",39,NA,NA,107,2,"0",2,"0","12",624.7,1,1,0,0,0,0,0,1,0,2,0,1,43.37,"19.15","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","3"
"Malawi","2017","E015","G246","L010","2",3,"0","0","0",40,NA,NA,105,3,"0",1,"0","15",562.06,2,2,0,0,0,0,0,1,0,1,0,2,39.77,"22.6","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","3"
"Malawi","2017","E015","G186","L010","2",3,"0","0","0",38,NA,NA,106,2,"0",1,"0","11",2169.27,1,1,0,0,0,0,0,1,0,1,0,2,42.08,"22.29","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","3"
"Malawi","2017","E015","G125","L010","2",3,"0","0","0",40,NA,NA,107,1,"0",1,"0","12",1302.6,1,1,0,0,0,0,0,1,0,2,0,1,42.79,"19.74","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Savanna Agricultural Research Institute CSIRSARI","Public","3"
"Malawi","2017","E015","G206","L010","2",3,"0","0","0",38,NA,NA,104,2,"0",1,"0","16",2136.14,1,1,0,0,0,0,0,1,0,2,0,2,37.72,"24.02","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","3"
"Malawi","2017","E015","G092","L010","2",3,"0","0","0",39,NA,NA,106,2,"0",1,"0","16",1559.06,1,1,0,0,0,0,0,1,0,2,0,2,34.99,"25.04","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","3"
"Malawi","2017","E015","G065","L010","2",3,"1","0","0",40,NA,NA,106,2,"0",1,"0","14",1101.62,1,1,0,0,0,0,0,1,0,2,0,1,33.65,"26.66","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Department of Agricultural Research Services DARS","Public","3"
"Malawi","2017","E015","G188","L010","2",3,"0","0","0",39,NA,NA,105,3,"0",1,"0","10",1216,1,1,0,0,0,0,0,1,0,2,0,2,38.42,"22.93","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","International Institute of Tropical Agriculture IITA","Public","3"
"Malawi","2017","E015","G059","L010","2",3,"0","0","0",38,NA,NA,104,2,"0",1,"0","10",174.72,1,1,0,0,0,0,0,1,0,2,0,1,39.68,"21.82","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","3"
"Malawi","2017","E015","G060","L010","2",3,"0","0","0",40,NA,NA,104,2,"0",1,"0","13",178.44,1,1,0,0,0,0,0,1,0,2,0,2,36.43,"26.71","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","3"
"Malawi","2017","E015","G094","L010","2",3,"0","0","0",38,NA,NA,113,1,"0",1,"0","15",493.02,1,1,0,0,0,0,0,1,0,1,0,2,39.84,"23.23","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","SeedCo","Private","3"
"Malawi","2017","E015","G070","L010","2",3,"0","0","0",38,NA,NA,107,2,"0",1,"0","13",1339.89,1,1,0,0,0,0,0,1,0,2,0,1,40.63,"23.6","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","MRISyngenta Synergy Agribusiness Zambia Limited","Private","3"
"Malawi","2017","E015","G365","L010","2",3,"1","0","0",41,NA,NA,105,3,"0",1,"0","11",1442.36,1,1,0,0,0,0,0,1,0,2,0,2,36.21,"22.92","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Department of Agricultural Research Services DARS","Public","3"
"Malawi","2017","E015","G063","L010","2",3,"0","0","0",39,NA,NA,104,2,"0",1,"0","13",2259.14,1,1,0,0,0,0,0,1,0,2,0,2,40.78,"23.62","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","3"
"Malawi","2017","E015","G062","L010","2",3,"0","0","0",40,NA,NA,113,2,"0",1,"0","15",1942.14,1,1,0,0,0,0,0,1,0,1,0,2,36.5,"25.05","19/12/2017","29/05/2018","-13.667","34.25",606,"Rainfed","Makerere University","Public","3"
